"Town","FIPS","Year","Measure Type","Variable","Value"
"Beacon Falls","0900903250","2013-2017","Number","Total Households",2419
"Beacon Falls","0900903250","2013-2017","Number","Margins of Error",138
"Berlin","0900304300","2006-2010","Number","Total Households",7467
"Berlin","0900304300","2006-2010","Number","Margins of Error",236
"Berlin","0900304300","2007-2011","Number","Total Households",7426
"Berlin","0900304300","2007-2011","Number","Margins of Error",206
"Berlin","0900304300","2008-2012","Number","Total Households",7619
"Berlin","0900304300","2008-2012","Number","Margins of Error",203
"Berlin","0900304300","2009-2013","Number","Total Households",7592
"Berlin","0900304300","2009-2013","Number","Margins of Error",239
"Berlin","0900304300","2010-2014","Number","Total Households",7822
"Berlin","0900304300","2010-2014","Number","Margins of Error",224
"Berlin","0900304300","2011-2015","Number","Total Households",7911
"Berlin","0900304300","2011-2015","Number","Margins of Error",237
"Berlin","0900304300","2012-2016","Number","Total Households",8034
"Berlin","0900304300","2012-2016","Number","Margins of Error",234
"Berlin","0900304300","2013-2017","Number","Total Households",8207
"Berlin","0900304300","2013-2017","Number","Margins of Error",248
"Bethany","0900904580","2006-2010","Number","Total Households",1888
"Bethany","0900904580","2006-2010","Number","Margins of Error",72
"Bethany","0900904580","2007-2011","Number","Total Households",1916
"Bethany","0900904580","2007-2011","Number","Margins of Error",79
"Bethany","0900904580","2008-2012","Number","Total Households",1915
"Bethany","0900904580","2008-2012","Number","Margins of Error",80
"Bethany","0900904580","2009-2013","Number","Total Households",1976
"Bethany","0900904580","2009-2013","Number","Margins of Error",92
"Bethany","0900904580","2010-2014","Number","Total Households",2034
"Bethany","0900904580","2010-2014","Number","Margins of Error",93
"Bethany","0900904580","2011-2015","Number","Total Households",2042
"Bethany","0900904580","2011-2015","Number","Margins of Error",105
"Bethany","0900904580","2012-2016","Number","Total Households",1999
"Bethany","0900904580","2012-2016","Number","Margins of Error",106
"Bethany","0900904580","2013-2017","Number","Total Households",2007
"Bethany","0900904580","2013-2017","Number","Margins of Error",125
"Bethel","0900104720","2006-2010","Number","Total Households",6590
"Bethel","0900104720","2006-2010","Number","Margins of Error",366
"Bethel","0900104720","2007-2011","Number","Total Households",6740
"Bethel","0900104720","2007-2011","Number","Margins of Error",209
"Bethel","0900104720","2008-2012","Number","Total Households",6838
"Bethel","0900104720","2008-2012","Number","Margins of Error",187
"Bethel","0900104720","2009-2013","Number","Total Households",6818
"Bethel","0900104720","2009-2013","Number","Margins of Error",232
"Bethel","0900104720","2010-2014","Number","Total Households",7071
"Bethel","0900104720","2010-2014","Number","Margins of Error",210
"Bethel","0900104720","2011-2015","Number","Total Households",7211
"Bethel","0900104720","2011-2015","Number","Margins of Error",209
"Bethel","0900104720","2012-2016","Number","Total Households",7210
"Bethel","0900104720","2012-2016","Number","Margins of Error",209
"Bethel","0900104720","2013-2017","Number","Total Households",7113
"Bethel","0900104720","2013-2017","Number","Margins of Error",224
"Bethlehem","0900504930","2006-2010","Number","Total Households",1485
"Bethlehem","0900504930","2006-2010","Number","Margins of Error",80
"Bethlehem","0900504930","2007-2011","Number","Total Households",1402
"Bethlehem","0900504930","2007-2011","Number","Margins of Error",96
"Bethlehem","0900504930","2008-2012","Number","Total Households",1409
"Bethlehem","0900504930","2008-2012","Number","Margins of Error",93
"Bethlehem","0900504930","2009-2013","Number","Total Households",1380
"Bethlehem","0900504930","2009-2013","Number","Margins of Error",102
"Bethlehem","0900504930","2010-2014","Number","Total Households",1353
"Bethlehem","0900504930","2010-2014","Number","Margins of Error",85
"Bethlehem","0900504930","2011-2015","Number","Total Households",1285
"Bethlehem","0900504930","2011-2015","Number","Margins of Error",80
"Bethlehem","0900504930","2012-2016","Number","Total Households",1277
"Bethlehem","0900504930","2012-2016","Number","Margins of Error",87
"Bethlehem","0900504930","2013-2017","Number","Total Households",1295
"Bethlehem","0900504930","2013-2017","Number","Margins of Error",69
"Bloomfield","0900305910","2006-2010","Number","Total Households",8696
"Bloomfield","0900305910","2006-2010","Number","Margins of Error",336
"Bloomfield","0900305910","2007-2011","Number","Total Households",8500
"Bloomfield","0900305910","2007-2011","Number","Margins of Error",343
"Bloomfield","0900305910","2008-2012","Number","Total Households",8505
"Bloomfield","0900305910","2008-2012","Number","Margins of Error",280
"Bloomfield","0900305910","2009-2013","Number","Total Households",8508
"Bloomfield","0900305910","2009-2013","Number","Margins of Error",329
"Bloomfield","0900305910","2010-2014","Number","Total Households",8417
"Bloomfield","0900305910","2010-2014","Number","Margins of Error",319
"Bloomfield","0900305910","2011-2015","Number","Total Households",8484
"Bloomfield","0900305910","2011-2015","Number","Margins of Error",357
"Bloomfield","0900305910","2012-2016","Number","Total Households",8463
"Bloomfield","0900305910","2012-2016","Number","Margins of Error",303
"Bloomfield","0900305910","2013-2017","Number","Total Households",8605
"Bloomfield","0900305910","2013-2017","Number","Margins of Error",290
"Bolton","0901306260","2006-2010","Number","Total Households",2061
"Bolton","0901306260","2006-2010","Number","Margins of Error",114
"Bolton","0901306260","2007-2011","Number","Total Households",1973
"Bolton","0901306260","2007-2011","Number","Margins of Error",107
"Bolton","0901306260","2008-2012","Number","Total Households",1996
"Bolton","0901306260","2008-2012","Number","Margins of Error",102
"Bolton","0901306260","2009-2013","Number","Total Households",2042
"Bolton","0901306260","2009-2013","Number","Margins of Error",104
"Bolton","0901306260","2010-2014","Number","Total Households",1985
"Bolton","0901306260","2010-2014","Number","Margins of Error",104
"Bolton","0901306260","2011-2015","Number","Total Households",2021
"Bolton","0901306260","2011-2015","Number","Margins of Error",94
"Bolton","0901306260","2012-2016","Number","Total Households",1980
"Bolton","0901306260","2012-2016","Number","Margins of Error",106
"Bolton","0901306260","2013-2017","Number","Total Households",1928
"Bolton","0901306260","2013-2017","Number","Margins of Error",101
"Bozrah","0901106820","2006-2010","Number","Total Households",1098
"Bozrah","0901106820","2006-2010","Number","Margins of Error",48
"Bozrah","0901106820","2007-2011","Number","Total Households",1050
"Bozrah","0901106820","2007-2011","Number","Margins of Error",62
"Bozrah","0901106820","2008-2012","Number","Total Households",1015
"Bozrah","0901106820","2008-2012","Number","Margins of Error",69
"Bozrah","0901106820","2009-2013","Number","Total Households",1017
"Bozrah","0901106820","2009-2013","Number","Margins of Error",67
"Bozrah","0901106820","2010-2014","Number","Total Households",1049
"Bozrah","0901106820","2010-2014","Number","Margins of Error",68
"Bozrah","0901106820","2011-2015","Number","Total Households",1012
"Bozrah","0901106820","2011-2015","Number","Margins of Error",59
"Bozrah","0901106820","2012-2016","Number","Total Households",1005
"Bozrah","0901106820","2012-2016","Number","Margins of Error",64
"Bozrah","0901106820","2013-2017","Number","Total Households",1018
"Bozrah","0901106820","2013-2017","Number","Margins of Error",60
"Branford","0900907310","2006-2010","Number","Total Households",12119
"Branford","0900907310","2006-2010","Number","Margins of Error",339
"Branford","0900907310","2007-2011","Number","Total Households",12414
"Branford","0900907310","2007-2011","Number","Margins of Error",316
"Branford","0900907310","2008-2012","Number","Total Households",12401
"Branford","0900907310","2008-2012","Number","Margins of Error",327
"Branford","0900907310","2009-2013","Number","Total Households",12189
"Branford","0900907310","2009-2013","Number","Margins of Error",312
"Branford","0900907310","2010-2014","Number","Total Households",12410
"Branford","0900907310","2010-2014","Number","Margins of Error",311
"Branford","0900907310","2011-2015","Number","Total Households",12395
"Branford","0900907310","2011-2015","Number","Margins of Error",344
"Branford","0900907310","2012-2016","Number","Total Households",12264
"Branford","0900907310","2012-2016","Number","Margins of Error",342
"Branford","0900907310","2013-2017","Number","Total Households",12263
"Branford","0900907310","2013-2017","Number","Margins of Error",372
"Bridgeport","0900108070","2006-2010","Number","Total Households",52281
"Bridgeport","0900108070","2006-2010","Number","Margins of Error",862
"Bridgeport","0900108070","2007-2011","Number","Total Households",51014
"Bridgeport","0900108070","2007-2011","Number","Margins of Error",869
"Bridgeport","0900108070","2008-2012","Number","Total Households",50824
"Bridgeport","0900108070","2008-2012","Number","Margins of Error",813
"Bridgeport","0900108070","2009-2013","Number","Total Households",50333
"Bridgeport","0900108070","2009-2013","Number","Margins of Error",773
"Bridgeport","0900108070","2010-2014","Number","Total Households",50034
"Bridgeport","0900108070","2010-2014","Number","Margins of Error",904
"Bridgeport","0900108070","2011-2015","Number","Total Households",50367
"Bridgeport","0900108070","2011-2015","Number","Margins of Error",792
"Bridgeport","0900108070","2012-2016","Number","Total Households",50357
"Bridgeport","0900108070","2012-2016","Number","Margins of Error",772
"Bridgeport","0900108070","2013-2017","Number","Total Households",50341
"Bridgeport","0900108070","2013-2017","Number","Margins of Error",817
"Bridgewater","0900508210","2006-2010","Number","Total Households",734
"Bridgewater","0900508210","2006-2010","Number","Margins of Error",54
"Bridgewater","0900508210","2007-2011","Number","Total Households",753
"Bridgewater","0900508210","2007-2011","Number","Margins of Error",45
"Bridgewater","0900508210","2008-2012","Number","Total Households",746
"Bridgewater","0900508210","2008-2012","Number","Margins of Error",53
"Bridgewater","0900508210","2009-2013","Number","Total Households",769
"Bridgewater","0900508210","2009-2013","Number","Margins of Error",40
"Bridgewater","0900508210","2010-2014","Number","Total Households",765
"Bridgewater","0900508210","2010-2014","Number","Margins of Error",46
"Bridgewater","0900508210","2011-2015","Number","Total Households",753
"Bridgewater","0900508210","2011-2015","Number","Margins of Error",42
"Bridgewater","0900508210","2012-2016","Number","Total Households",763
"Bridgewater","0900508210","2012-2016","Number","Margins of Error",64
"Bridgewater","0900508210","2013-2017","Number","Total Households",736
"Bridgewater","0900508210","2013-2017","Number","Margins of Error",51
"Bristol","0900308490","2006-2010","Number","Total Households",24966
"Bristol","0900308490","2006-2010","Number","Margins of Error",448
"Bristol","0900308490","2007-2011","Number","Total Households",25127
"Bristol","0900308490","2007-2011","Number","Margins of Error",474
"Bristol","0900308490","2008-2012","Number","Total Households",25231
"Bristol","0900308490","2008-2012","Number","Margins of Error",500
"Bristol","0900308490","2009-2013","Number","Total Households",25189
