"Town","FIPS","Year","Measure Type","Variable","Value"
"East Hampton","0900722490","2008-2012","Number","Total Households",4933
"East Hampton","0900722490","2008-2012","Number","Margins of Error",226
"East Hampton","0900722490","2009-2013","Number","Total Households",4838
"East Hampton","0900722490","2009-2013","Number","Margins of Error",205
"East Hampton","0900722490","2010-2014","Number","Total Households",4990
"East Hampton","0900722490","2010-2014","Number","Margins of Error",183
"East Hampton","0900722490","2011-2015","Number","Total Households",4954
"East Hampton","0900722490","2011-2015","Number","Margins of Error",172
"East Hampton","0900722490","2012-2016","Number","Total Households",4951
"East Hampton","0900722490","2012-2016","Number","Margins of Error",172
"East Hampton","0900722490","2013-2017","Number","Total Households",4941
"East Hampton","0900722490","2013-2017","Number","Margins of Error",187
"East Hartford","0900322630","2006-2010","Number","Total Households",20201
"East Hartford","0900322630","2006-2010","Number","Margins of Error",511
"East Hartford","0900322630","2007-2011","Number","Total Households",20246
"East Hartford","0900322630","2007-2011","Number","Margins of Error",467
"East Hartford","0900322630","2008-2012","Number","Total Households",20339
"East Hartford","0900322630","2008-2012","Number","Margins of Error",497
"East Hartford","0900322630","2009-2013","Number","Total Households",20364
"East Hartford","0900322630","2009-2013","Number","Margins of Error",541
"East Hartford","0900322630","2010-2014","Number","Total Households",20157
"East Hartford","0900322630","2010-2014","Number","Margins of Error",410
"East Hartford","0900322630","2011-2015","Number","Total Households",20225
"East Hartford","0900322630","2011-2015","Number","Margins of Error",445
"East Hartford","0900322630","2012-2016","Number","Total Households",19518
"East Hartford","0900322630","2012-2016","Number","Margins of Error",456
"East Hartford","0900322630","2013-2017","Number","Total Households",19572
"East Hartford","0900322630","2013-2017","Number","Margins of Error",466
"East Haven","0900922910","2006-2010","Number","Total Households",11506
"East Haven","0900922910","2006-2010","Number","Margins of Error",365
"East Haven","0900922910","2007-2011","Number","Total Households",11492
"East Haven","0900922910","2007-2011","Number","Margins of Error",377
"East Haven","0900922910","2008-2012","Number","Total Households",11355
"East Haven","0900922910","2008-2012","Number","Margins of Error",361
"East Haven","0900922910","2009-2013","Number","Total Households",11371
"East Haven","0900922910","2009-2013","Number","Margins of Error",327
"East Haven","0900922910","2010-2014","Number","Total Households",11215
"East Haven","0900922910","2010-2014","Number","Margins of Error",326
"East Haven","0900922910","2011-2015","Number","Total Households",11213
"East Haven","0900922910","2011-2015","Number","Margins of Error",323
"East Haven","0900922910","2012-2016","Number","Total Households",11240
"East Haven","0900922910","2012-2016","Number","Margins of Error",383
"East Haven","0900922910","2013-2017","Number","Total Households",11270
"East Haven","0900922910","2013-2017","Number","Margins of Error",445
"East Lyme","0901123400","2006-2010","Number","Total Households",7042
"East Lyme","0901123400","2006-2010","Number","Margins of Error",229
"East Lyme","0901123400","2007-2011","Number","Total Households",6922
"East Lyme","0901123400","2007-2011","Number","Margins of Error",222
"East Lyme","0901123400","2008-2012","Number","Total Households",6959
"East Lyme","0901123400","2008-2012","Number","Margins of Error",193
"East Lyme","0901123400","2009-2013","Number","Total Households",7136
"East Lyme","0901123400","2009-2013","Number","Margins of Error",196
"East Lyme","0901123400","2010-2014","Number","Total Households",7263
"East Lyme","0901123400","2010-2014","Number","Margins of Error",201
"East Lyme","0901123400","2011-2015","Number","Total Households",7228
"East Lyme","0901123400","2011-2015","Number","Margins of Error",224
"East Lyme","0901123400","2012-2016","Number","Total Households",7330
"East Lyme","0901123400","2012-2016","Number","Margins of Error",264
"East Lyme","0901123400","2013-2017","Number","Total Households",7446
"East Lyme","0901123400","2013-2017","Number","Margins of Error",205
"East Windsor","0900324800","2006-2010","Number","Total Households",4442
"East Windsor","0900324800","2006-2010","Number","Margins of Error",223
"East Windsor","0900324800","2007-2011","Number","Total Households",4413
"East Windsor","0900324800","2007-2011","Number","Margins of Error",248
"East Windsor","0900324800","2008-2012","Number","Total Households",4534
"East Windsor","0900324800","2008-2012","Number","Margins of Error",175
"East Windsor","0900324800","2009-2013","Number","Total Households",4521
"East Windsor","0900324800","2009-2013","Number","Margins of Error",243
"East Windsor","0900324800","2010-2014","Number","Total Households",4556
"East Windsor","0900324800","2010-2014","Number","Margins of Error",261
"East Windsor","0900324800","2011-2015","Number","Total Households",4422
"East Windsor","0900324800","2011-2015","Number","Margins of Error",296
"East Windsor","0900324800","2012-2016","Number","Total Households",4662
"East Windsor","0900324800","2012-2016","Number","Margins of Error",302
"East Windsor","0900324800","2013-2017","Number","Total Households",4739
"East Windsor","0900324800","2013-2017","Number","Margins of Error",287
"Eastford","0901521860","2006-2010","Number","Total Households",640
"Eastford","0901521860","2006-2010","Number","Margins of Error",45
"Eastford","0901521860","2007-2011","Number","Total Households",628
"Eastford","0901521860","2007-2011","Number","Margins of Error",49
"Eastford","0901521860","2008-2012","Number","Total Households",644
"Eastford","0901521860","2008-2012","Number","Margins of Error",55
"Eastford","0901521860","2009-2013","Number","Total Households",627
"Eastford","0901521860","2009-2013","Number","Margins of Error",57
"Eastford","0901521860","2010-2014","Number","Total Households",689
"Eastford","0901521860","2010-2014","Number","Margins of Error",43
"Eastford","0901521860","2011-2015","Number","Total Households",671
"Eastford","0901521860","2011-2015","Number","Margins of Error",45
"Eastford","0901521860","2012-2016","Number","Total Households",667
"Eastford","0901521860","2012-2016","Number","Margins of Error",47
"Eastford","0901521860","2013-2017","Number","Total Households",657
"Eastford","0901521860","2013-2017","Number","Margins of Error",54
"Easton","0900123890","2006-2010","Number","Total Households",2438
"Easton","0900123890","2006-2010","Number","Margins of Error",84
"Easton","0900123890","2007-2011","Number","Total Households",2507
"Easton","0900123890","2007-2011","Number","Margins of Error",105
"Easton","0900123890","2008-2012","Number","Total Households",2527
"Easton","0900123890","2008-2012","Number","Margins of Error",93
"Easton","0900123890","2009-2013","Number","Total Households",2564
"Easton","0900123890","2009-2013","Number","Margins of Error",106
"Easton","0900123890","2010-2014","Number","Total Households",2598
"Easton","0900123890","2010-2014","Number","Margins of Error",115
"Easton","0900123890","2011-2015","Number","Total Households",2682
"Easton","0900123890","2011-2015","Number","Margins of Error",107
"Easton","0900123890","2012-2016","Number","Total Households",2672
"Easton","0900123890","2012-2016","Number","Margins of Error",117
"Easton","0900123890","2013-2017","Number","Total Households",2762
"Easton","0900123890","2013-2017","Number","Margins of Error",122
"Ellington","0901325360","2006-2010","Number","Total Households",5959
"Ellington","0901325360","2006-2010","Number","Margins of Error",185
"Ellington","0901325360","2007-2011","Number","Total Households",5899
"Ellington","0901325360","2007-2011","Number","Margins of Error",189
"Ellington","0901325360","2008-2012","Number","Total Households",6094
"Ellington","0901325360","2008-2012","Number","Margins of Error",267
"Ellington","0901325360","2009-2013","Number","Total Households",6110
"Ellington","0901325360","2009-2013","Number","Margins of Error",267
"Ellington","0901325360","2010-2014","Number","Total Households",6318
"Ellington","0901325360","2010-2014","Number","Margins of Error",235
"Ellington","0901325360","2011-2015","Number","Total Households",6383
"Ellington","0901325360","2011-2015","Number","Margins of Error",258
"Ellington","0901325360","2012-2016","Number","Total Households",6717
"Ellington","0901325360","2012-2016","Number","Margins of Error",266
"Ellington","0901325360","2013-2017","Number","Total Households",6833
"Ellington","0901325360","2013-2017","Number","Margins of Error",307
"Enfield","0900325990","2006-2010","Number","Total Households",16396
"Enfield","0900325990","2006-2010","Number","Margins of Error",367
"Enfield","0900325990","2007-2011","Number","Total Households",16466
"Enfield","0900325990","2007-2011","Number","Margins of Error",375
"Enfield","0900325990","2008-2012","Number","Total Households",16400
"Enfield","0900325990","2008-2012","Number","Margins of Error",389
"Enfield","0900325990","2009-2013","Number","Total Households",16406
"Enfield","0900325990","2009-2013","Number","Margins of Error",399
"Enfield","0900325990","2010-2014","Number","Total Households",16192
"Enfield","0900325990","2010-2014","Number","Margins of Error",446
"Enfield","0900325990","2011-2015","Number","Total Households",16225
"Enfield","0900325990","2011-2015","Number","Margins of Error",491
"Enfield","0900325990","2012-2016","Number","Total Households",16268
"Enfield","0900325990","2012-2016","Number","Margins of Error",431
"Enfield","0900325990","2013-2017","Number","Total Households",16612
"Enfield","0900325990","2013-2017","Number","Margins of Error",390
"Essex","0900726270","2006-2010","Number","Total Households",3003
"Essex","0900726270","2006-2010","Number","Margins of Error",141
"Essex","0900726270","2007-2011","Number","Total Households",2959
"Essex","0900726270","2007-2011","Number","Margins of Error",162
"Essex","0900726270","2008-2012","Number","Total Households",2876
"Essex","0900726270","2008-2012","Number","Margins of Error",151
"Essex","0900726270","2009-2013","Number","Total Households",2928
"Essex","0900726270","2009-2013","Number","Margins of Error",189
"Essex","0900726270","2010-2014","Number","Total Households",2916
"Essex","0900726270","2010-2014","Number","Margins of Error",146
"Essex","0900726270","2011-2015","Number","Total Households",2992
"Essex","0900726270","2011-2015","Number","Margins of Error",167
"Essex","0900726270","2012-2016","Number","Total Households",2961
"Essex","0900726270","2012-2016","Number","Margins of Error",166
"Essex","0900726270","2013-2017","Number","Total Households",3028
"Essex","0900726270","2013-2017","Number","Margins of Error",181
"Fairfield","0900126620","2006-2010","Number","Total Households",19220
"Fairfield","0900126620","2006-2010","Number","Margins of Error",460
"Fairfield","0900126620","2007-2011","Number","Total Households",19765
"Fairfield","0900126620","2007-2011","Number","Margins of Error",389
"Fairfield","0900126620","2008-2012","Number","Total Households",20227
"Fairfield","0900126620","2008-2012","Number","Margins of Error",348
"Fairfield","0900126620","2009-2013","Number","Total Households",20178
"Fairfield","0900126620","2009-2013","Number","Margins of Error",411
"Fairfield","0900126620","2010-2014","Number","Total Households",20194
"Fairfield","0900126620","2010-2014","Number","Margins of Error",360
"Fairfield","0900126620","2011-2015","Number","Total Households",20233
"Fairfield","0900126620","2011-2015","Number","Margins of Error",369
"Fairfield","0900126620","2012-2016","Number","Total Households",20155
"Fairfield","0900126620","2012-2016","Number","Margins of Error",343
"Fairfield","0900126620","2013-2017","Number","Total Households",20365
"Fairfield","0900126620","2013-2017","Number","Margins of Error",352
"Farmington","0900327600","2006-2010","Number","Total Households",10354
"Farmington","0900327600","2006-2010","Number","Margins of Error",322
"Farmington","0900327600","2007-2011","Number","Total Households",10545
"Farmington","0900327600","2007-2011","Number","Margins of Error",276
"Farmington","0900327600","2008-2012","Number","Total Households",10361
"Farmington","0900327600","2008-2012","Number","Margins of Error",237
"Farmington","0900327600","2009-2013","Number","Total Households",10353
"Farmington","0900327600","2009-2013","Number","Margins of Error",292
"Farmington","0900327600","2010-2014","Number","Total Households",10400
"Farmington","0900327600","2010-2014","Number","Margins of Error",265
"Farmington","0900327600","2011-2015","Number","Total Households",10343
"Farmington","0900327600","2011-2015","Number","Margins of Error",214
"Farmington","0900327600","2012-2016","Number","Total Households",10239
"Farmington","0900327600","2012-2016","Number","Margins of Error",228
"Farmington","0900327600","2013-2017","Number","Total Households",10423
"Farmington","0900327600","2013-2017","Number","Margins of Error",231
"Franklin","0901129910","2006-2010","Number","Total Households",759
"Franklin","0901129910","2006-2010","Number","Margins of Error",60
"Franklin","0901129910","2007-2011","Number","Total Households",749
"Franklin","0901129910","2007-2011","Number","Margins of Error",49
"Franklin","0901129910","2008-2012","Number","Total Households",746
"Franklin","0901129910","2008-2012","Number","Margins of Error",53
"Franklin","0901129910","2009-2013","Number","Total Households",728
"Franklin","0901129910","2009-2013","Number","Margins of Error",42
"Franklin","0901129910","2010-2014","Number","Total Households",740
"Franklin","0901129910","2010-2014","Number","Margins of Error",38
"Franklin","0901129910","2011-2015","Number","Total Households",710
"Franklin","0901129910","2011-2015","Number","Margins of Error",41
"Franklin","0901129910","2012-2016","Number","Total Households",721
"Franklin","0901129910","2012-2016","Number","Margins of Error",45
"Franklin","0901129910","2013-2017","Number","Total Households",723
"Franklin","0901129910","2013-2017","Number","Margins of Error",42
"Glastonbury","0900331240","2006-2010","Number","Total Households",12881
"Glastonbury","0900331240","2006-2010","Number","Margins of Error",280
"Glastonbury","0900331240","2007-2011","Number","Total Households",12769
"Glastonbury","0900331240","2007-2011","Number","Margins of Error",273
"Glastonbury","0900331240","2008-2012","Number","Total Households",12866
"Glastonbury","0900331240","2008-2012","Number","Margins of Error",313
"Glastonbury","0900331240","2009-2013","Number","Total Households",13032
"Glastonbury","0900331240","2009-2013","Number","Margins of Error",295
"Glastonbury","0900331240","2010-2014","Number","Total Households",13152
"Glastonbury","0900331240","2010-2014","Number","Margins of Error",261
"Glastonbury","0900331240","2011-2015","Number","Total Households",13121
"Glastonbury","0900331240","2011-2015","Number","Margins of Error",274
"Glastonbury","0900331240","2012-2016","Number","Total Households",13332
"Glastonbury","0900331240","2012-2016","Number","Margins of Error",250
"Glastonbury","0900331240","2013-2017","Number","Total Households",13587
"Glastonbury","0900331240","2013-2017","Number","Margins of Error",281
"Goshen","0900532290","2006-2010","Number","Total Households",1223
"Goshen","0900532290","2006-2010","Number","Margins of Error",86
"Goshen","0900532290","2007-2011","Number","Total Households",1247
"Goshen","0900532290","2007-2011","Number","Margins of Error",92
"Goshen","0900532290","2008-2012","Number","Total Households",1288
"Goshen","0900532290","2008-2012","Number","Margins of Error",109
"Goshen","0900532290","2009-2013","Number","Total Households",1225
"Goshen","0900532290","2009-2013","Number","Margins of Error",97
"Goshen","0900532290","2010-2014","Number","Total Households",1225
"Goshen","0900532290","2010-2014","Number","Margins of Error",101
"Goshen","0900532290","2011-2015","Number","Total Households",1159
"Goshen","0900532290","2011-2015","Number","Margins of Error",87
"Goshen","0900532290","2012-2016","Number","Total Households",1069
"Goshen","0900532290","2012-2016","Number","Margins of Error",81
"Goshen","0900532290","2013-2017","Number","Total Households",1086
"Goshen","0900532290","2013-2017","Number","Margins of Error",88
"Granby","0900332640","2006-2010","Number","Total Households",4288
"Granby","0900332640","2006-2010","Number","Margins of Error",135
"Granby","0900332640","2007-2011","Number","Total Households",4303
"Granby","0900332640","2007-2011","Number","Margins of Error",125
"Granby","0900332640","2008-2012","Number","Total Households",4439
"Granby","0900332640","2008-2012","Number","Margins of Error",146
"Granby","0900332640","2009-2013","Number","Total Households",4359
"Granby","0900332640","2009-2013","Number","Margins of Error",163
"Granby","0900332640","2010-2014","Number","Total Households",4409
"Granby","0900332640","2010-2014","Number","Margins of Error",170
"Granby","0900332640","2011-2015","Number","Total Households",4258
"Granby","0900332640","2011-2015","Number","Margins of Error",150
"Granby","0900332640","2012-2016","Number","Total Households",4223
"Granby","0900332640","2012-2016","Number","Margins of Error",142
"Granby","0900332640","2013-2017","Number","Total Households",4280
"Granby","0900332640","2013-2017","Number","Margins of Error",142
"Greenwich","0900133620","2006-2010","Number","Total Households",22483
"Greenwich","0900133620","2006-2010","Number","Margins of Error",443
"Greenwich","0900133620","2007-2011","Number","Total Households",22249
"Greenwich","0900133620","2007-2011","Number","Margins of Error",471
"Greenwich","0900133620","2008-2012","Number","Total Households",22209
"Greenwich","0900133620","2008-2012","Number","Margins of Error",345
"Greenwich","0900133620","2009-2013","Number","Total Households",22068
"Greenwich","0900133620","2009-2013","Number","Margins of Error",398
"Greenwich","0900133620","2010-2014","Number","Total Households",21994
"Greenwich","0900133620","2010-2014","Number","Margins of Error",390
"Greenwich","0900133620","2011-2015","Number","Total Households",22083
"Greenwich","0900133620","2011-2015","Number","Margins of Error",432
"Greenwich","0900133620","2012-2016","Number","Total Households",22113
"Greenwich","0900133620","2012-2016","Number","Margins of Error",449
"Greenwich","0900133620","2013-2017","Number","Total Households",22284
"Greenwich","0900133620","2013-2017","Number","Margins of Error",485
"Griswold","0901133900","2006-2010","Number","Total Households",4901
"Griswold","0901133900","2006-2010","Number","Margins of Error",275
"Griswold","0901133900","2007-2011","Number","Total Households",4870
"Griswold","0901133900","2007-2011","Number","Margins of Error",245
"Griswold","0901133900","2008-2012","Number","Total Households",4725
"Griswold","0901133900","2008-2012","Number","Margins of Error",245
"Griswold","0901133900","2009-2013","Number","Total Households",4699
"Griswold","0901133900","2009-2013","Number","Margins of Error",288
"Griswold","0901133900","2010-2014","Number","Total Households",4404
"Griswold","0901133900","2010-2014","Number","Margins of Error",267
"Griswold","0901133900","2011-2015","Number","Total Households",4487
"Griswold","0901133900","2011-2015","Number","Margins of Error",290
"Griswold","0901133900","2012-2016","Number","Total Households",4454
"Griswold","0901133900","2012-2016","Number","Margins of Error",259
"Griswold","0901133900","2013-2017","Number","Total Households",4457
"Griswold","0901133900","2013-2017","Number","Margins of Error",256
"Groton","0901134250","2006-2010","Number","Total Households",15955
"Groton","0901134250","2006-2010","Number","Margins of Error",348
"Groton","0901134250","2007-2011","Number","Total Households",15691
"Groton","0901134250","2007-2011","Number","Margins of Error",393
"Groton","0901134250","2008-2012","Number","Total Households",15669
"Groton","0901134250","2008-2012","Number","Margins of Error",371
"Groton","0901134250","2009-2013","Number","Total Households",15924
"Groton","0901134250","2009-2013","Number","Margins of Error",357
"Groton","0901134250","2010-2014","Number","Total Households",16283
"Groton","0901134250","2010-2014","Number","Margins of Error",437
"Groton","0901134250","2011-2015","Number","Total Households",16260
"Groton","0901134250","2011-2015","Number","Margins of Error",410
"Groton","0901134250","2012-2016","Number","Total Households",16051
"Groton","0901134250","2012-2016","Number","Margins of Error",383
"Groton","0901134250","2013-2017","Number","Total Households",16002
"Groton","0901134250","2013-2017","Number","Margins of Error",385
"Guilford","0900934950","2006-2010","Number","Total Households",8766
"Guilford","0900934950","2006-2010","Number","Margins of Error",228
"Guilford","0900934950","2007-2011","Number","Total Households",8778
"Guilford","0900934950","2007-2011","Number","Margins of Error",230
"Guilford","0900934950","2008-2012","Number","Total Households",8843
"Guilford","0900934950","2008-2012","Number","Margins of Error",209
"Guilford","0900934950","2009-2013","Number","Total Households",8890
"Guilford","0900934950","2009-2013","Number","Margins of Error",269
"Guilford","0900934950","2010-2014","Number","Total Households",8814
"Guilford","0900934950","2010-2014","Number","Margins of Error",216
"Guilford","0900934950","2011-2015","Number","Total Households",8725
"Guilford","0900934950","2011-2015","Number","Margins of Error",211
"Guilford","0900934950","2012-2016","Number","Total Households",8553
"Guilford","0900934950","2012-2016","Number","Margins of Error",211
"Guilford","0900934950","2013-2017","Number","Total Households",8582
"Guilford","0900934950","2013-2017","Number","Margins of Error",247
"Haddam","0900735230","2006-2010","Number","Total Households",3038
"Haddam","0900735230","2006-2010","Number","Margins of Error",205
"Haddam","0900735230","2007-2011","Number","Total Households",3221
"Haddam","0900735230","2007-2011","Number","Margins of Error",171
"Haddam","0900735230","2008-2012","Number","Total Households",3192
"Haddam","0900735230","2008-2012","Number","Margins of Error",157
"Haddam","0900735230","2009-2013","Number","Total Households",3232
"Haddam","0900735230","2009-2013","Number","Margins of Error",157
"Haddam","0900735230","2010-2014","Number","Total Households",3192
"Haddam","0900735230","2010-2014","Number","Margins of Error",143
"Haddam","0900735230","2011-2015","Number","Total Households",3268
"Haddam","0900735230","2011-2015","Number","Margins of Error",184
"Haddam","0900735230","2012-2016","Number","Total Households",3223
"Haddam","0900735230","2012-2016","Number","Margins of Error",168
"Haddam","0900735230","2013-2017","Number","Total Households",3200
"Haddam","0900735230","2013-2017","Number","Margins of Error",139
"Hamden","0900935650","2006-2010","Number","Total Households",24099
"Hamden","0900935650","2006-2010","Number","Margins of Error",463
"Hamden","0900935650","2007-2011","Number","Total Households",23247
"Hamden","0900935650","2007-2011","Number","Margins of Error",658
"Hamden","0900935650","2008-2012","Number","Total Households",23034
"Hamden","0900935650","2008-2012","Number","Margins of Error",772
"Hamden","0900935650","2009-2013","Number","Total Households",22991
"Hamden","0900935650","2009-2013","Number","Margins of Error",541
"Hamden","0900935650","2010-2014","Number","Total Households",23374
"Hamden","0900935650","2010-2014","Number","Margins of Error",706
"Hamden","0900935650","2011-2015","Number","Total Households",23187
"Hamden","0900935650","2011-2015","Number","Margins of Error",478
"Hamden","0900935650","2012-2016","Number","Total Households",23356
"Hamden","0900935650","2012-2016","Number","Margins of Error",546
"Hamden","0900935650","2013-2017","Number","Total Households",22882
"Hamden","0900935650","2013-2017","Number","Margins of Error",476
"Hampton","0901536000","2006-2010","Number","Total Households",733
"Hampton","0901536000","2006-2010","Number","Margins of Error",48
"Hampton","0901536000","2007-2011","Number","Total Households",727
"Hampton","0901536000","2007-2011","Number","Margins of Error",50
"Hampton","0901536000","2008-2012","Number","Total Households",730
"Hampton","0901536000","2008-2012","Number","Margins of Error",46
"Hampton","0901536000","2009-2013","Number","Total Households",712
"Hampton","0901536000","2009-2013","Number","Margins of Error",41
"Hampton","0901536000","2010-2014","Number","Total Households",746
"Hampton","0901536000","2010-2014","Number","Margins of Error",41
"Hampton","0901536000","2011-2015","Number","Total Households",726
"Hampton","0901536000","2011-2015","Number","Margins of Error",44
"Hampton","0901536000","2012-2016","Number","Total Households",720
"Hampton","0901536000","2012-2016","Number","Margins of Error",48
"Hampton","0901536000","2013-2017","Number","Total Households",724
"Hampton","0901536000","2013-2017","Number","Margins of Error",35
"Hartford","0900337070","2006-2010","Number","Total Households",46073
"Hartford","0900337070","2006-2010","Number","Margins of Error",855
"Hartford","0900337070","2007-2011","Number","Total Households",46048
"Hartford","0900337070","2007-2011","Number","Margins of Error",826
"Hartford","0900337070","2008-2012","Number","Total Households",45895
"Hartford","0900337070","2008-2012","Number","Margins of Error",727
"Hartford","0900337070","2009-2013","Number","Total Households",45808
"Hartford","0900337070","2009-2013","Number","Margins of Error",854
"Hartford","0900337070","2010-2014","Number","Total Households",45801
"Hartford","0900337070","2010-2014","Number","Margins of Error",879
"Hartford","0900337070","2011-2015","Number","Total Households",45239
"Hartford","0900337070","2011-2015","Number","Margins of Error",852
"Hartford","0900337070","2012-2016","Number","Total Households",45845
"Hartford","0900337070","2012-2016","Number","Margins of Error",857
"Hartford","0900337070","2013-2017","Number","Total Households",45822
"Hartford","0900337070","2013-2017","Number","Margins of Error",794
"Hartland","0900337140","2006-2010","Number","Total Households",726
"Hartland","0900337140","2006-2010","Number","Margins of Error",39
"Hartland","0900337140","2007-2011","Number","Total Households",766
"Hartland","0900337140","2007-2011","Number","Margins of Error",58
"Hartland","0900337140","2008-2012","Number","Total Households",769
"Hartland","0900337140","2008-2012","Number","Margins of Error",43
"Hartland","0900337140","2009-2013","Number","Total Households",782
"Hartland","0900337140","2009-2013","Number","Margins of Error",42
"Hartland","0900337140","2010-2014","Number","Total Households",761
"Hartland","0900337140","2010-2014","Number","Margins of Error",49
"Hartland","0900337140","2011-2015","Number","Total Households",763
"Hartland","0900337140","2011-2015","Number","Margins of Error",56
"Hartland","0900337140","2012-2016","Number","Total Households",777
"Hartland","0900337140","2012-2016","Number","Margins of Error",49
"Hartland","0900337140","2013-2017","Number","Total Households",756
"Hartland","0900337140","2013-2017","Number","Margins of Error",50
"Harwinton","0900537280","2006-2010","Number","Total Households",2097
"Harwinton","0900537280","2006-2010","Number","Margins of Error",93
"Harwinton","0900537280","2007-2011","Number","Total Households",2113
"Harwinton","0900537280","2007-2011","Number","Margins of Error",81
"Harwinton","0900537280","2008-2012","Number","Total Households",2131
"Harwinton","0900537280","2008-2012","Number","Margins of Error",85
"Harwinton","0900537280","2009-2013","Number","Total Households",2077
"Harwinton","0900537280","2009-2013","Number","Margins of Error",87
"Harwinton","0900537280","2010-2014","Number","Total Households",2072
"Harwinton","0900537280","2010-2014","Number","Margins of Error",99
"Harwinton","0900537280","2011-2015","Number","Total Households",2025
"Harwinton","0900537280","2011-2015","Number","Margins of Error",88
"Harwinton","0900537280","2012-2016","Number","Total Households",2022
"Harwinton","0900537280","2012-2016","Number","Margins of Error",113
"Harwinton","0900537280","2013-2017","Number","Total Households",1990
"Harwinton","0900537280","2013-2017","Number","Margins of Error",105
"Hebron","0901337910","2006-2010","Number","Total Households",3276
"Hebron","0901337910","2006-2010","Number","Margins of Error",130
"Hebron","0901337910","2007-2011","Number","Total Households",3318
"Hebron","0901337910","2007-2011","Number","Margins of Error",130
"Hebron","0901337910","2008-2012","Number","Total Households",3282
"Hebron","0901337910","2008-2012","Number","Margins of Error",136
"Hebron","0901337910","2009-2013","Number","Total Households",3250
"Hebron","0901337910","2009-2013","Number","Margins of Error",119
"Hebron","0901337910","2010-2014","Number","Total Households",3356
"Hebron","0901337910","2010-2014","Number","Margins of Error",144
"Hebron","0901337910","2011-2015","Number","Total Households",3370
"Hebron","0901337910","2011-2015","Number","Margins of Error",142
"Hebron","0901337910","2012-2016","Number","Total Households",3335
"Hebron","0901337910","2012-2016","Number","Margins of Error",117
"Hebron","0901337910","2013-2017","Number","Total Households",3434
"Hebron","0901337910","2013-2017","Number","Margins of Error",114
"Kent","0900540290","2006-2010","Number","Total Households",1299
"Kent","0900540290","2006-2010","Number","Margins of Error",183
"Kent","0900540290","2007-2011","Number","Total Households",1241
"Kent","0900540290","2007-2011","Number","Margins of Error",104
"Kent","0900540290","2008-2012","Number","Total Households",1179
"Kent","0900540290","2008-2012","Number","Margins of Error",96
"Kent","0900540290","2009-2013","Number","Total Households",1198
"Kent","0900540290","2009-2013","Number","Margins of Error",124
"Kent","0900540290","2010-2014","Number","Total Households",1125
"Kent","0900540290","2010-2014","Number","Margins of Error",118
"Kent","0900540290","2011-2015","Number","Total Households",1104
"Kent","0900540290","2011-2015","Number","Margins of Error",139
"Kent","0900540290","2012-2016","Number","Total Households",1149
"Kent","0900540290","2012-2016","Number","Margins of Error",148
"Kent","0900540290","2013-2017","Number","Total Households",1121
"Kent","0900540290","2013-2017","Number","Margins of Error",141
"Killingly","0901540500","2006-2010","Number","Total Households",6858
"Killingly","0901540500","2006-2010","Number","Margins of Error",296
"Killingly","0901540500","2007-2011","Number","Total Households",6732
"Killingly","0901540500","2007-2011","Number","Margins of Error",317
"Killingly","0901540500","2008-2012","Number","Total Households",6709
"Killingly","0901540500","2008-2012","Number","Margins of Error",263
"Killingly","0901540500","2009-2013","Number","Total Households",6752
"Killingly","0901540500","2009-2013","Number","Margins of Error",235
"Killingly","0901540500","2010-2014","Number","Total Households",6959
"Killingly","0901540500","2010-2014","Number","Margins of Error",327
"Killingly","0901540500","2011-2015","Number","Total Households",6951
"Killingly","0901540500","2011-2015","Number","Margins of Error",323
"Killingly","0901540500","2012-2016","Number","Total Households",6974
"Killingly","0901540500","2012-2016","Number","Margins of Error",296
"Killingly","0901540500","2013-2017","Number","Total Households",7066
"Killingly","0901540500","2013-2017","Number","Margins of Error",352
"Killingworth","0900740710","2006-2010","Number","Total Households",2430
"Killingworth","0900740710","2006-2010","Number","Margins of Error",110
"Killingworth","0900740710","2007-2011","Number","Total Households",2452
"Killingworth","0900740710","2007-2011","Number","Margins of Error",100
"Killingworth","0900740710","2008-2012","Number","Total Households",2518
"Killingworth","0900740710","2008-2012","Number","Margins of Error",88
"Killingworth","0900740710","2009-2013","Number","Total Households",2584
"Killingworth","0900740710","2009-2013","Number","Margins of Error",114
"Killingworth","0900740710","2010-2014","Number","Total Households",2590
"Killingworth","0900740710","2010-2014","Number","Margins of Error",111
"Killingworth","0900740710","2011-2015","Number","Total Households",2513
"Killingworth","0900740710","2011-2015","Number","Margins of Error",111
"Killingworth","0900740710","2012-2016","Number","Total Households",2479
"Killingworth","0900740710","2012-2016","Number","Margins of Error",103
"Killingworth","0900740710","2013-2017","Number","Total Households",2411
"Killingworth","0900740710","2013-2017","Number","Margins of Error",114
"Lebanon","0901142390","2006-2010","Number","Total Households",2801
"Lebanon","0901142390","2006-2010","Number","Margins of Error",194
"Lebanon","0901142390","2007-2011","Number","Total Households",2769
"Lebanon","0901142390","2007-2011","Number","Margins of Error",191
"Lebanon","0901142390","2008-2012","Number","Total Households",2849
"Lebanon","0901142390","2008-2012","Number","Margins of Error",144
"Lebanon","0901142390","2009-2013","Number","Total Households",2752
"Lebanon","0901142390","2009-2013","Number","Margins of Error",148
"Lebanon","0901142390","2010-2014","Number","Total Households",2733
"Lebanon","0901142390","2010-2014","Number","Margins of Error",148
"Lebanon","0901142390","2011-2015","Number","Total Households",2661
"Lebanon","0901142390","2011-2015","Number","Margins of Error",147
